source,target,x1
99,3,360
100,2.21,1
100,2.39,2
100,2.58,3
100,3.1,6
100,3.29,12
100,3.24,24
100,3.18,36
100,2.97,60
100,2.91,84
100,2.83,120
100,3.27,240
100,3.06,360
101,2.19,1
101,2.36,2
101,2.5,3
101,2.98,6
101,3.11,12
101,3.03,24
101,2.95,36
101,2.76,60
101,2.73,84
101,2.68,120
101,3.15,240
101,2.97,360
102,2.2,1
102,2.29,2
102,2.52,3
102,3,6
102,3.14,12
102,3.1,24
102,3.04,36
102,2.86,60
102,2.81,84
102,2.73,120
102,3.17,240
102,2.96,360
103,2.22,1
103,2.33,2
103,2.56,3
103,3,6
103,3.09,12
103,3.06,24
103,3.02,36
103,2.85,60
103,2.82,84
103,2.75,120
103,3.22,240
103,3,360
104,2.22,1
104,2.33,2
104,2.56,3
104,2.96,6
104,2.98,12
104,2.9,24
104,2.82,36
104,2.66,60
104,2.64,84
104,2.6,120
104,3.12,240
104,2.92,360
105,2.22,1
105,2.28,2
105,2.41,3
105,2.91,6
105,2.98,12
105,2.89,24
105,2.83,36
105,2.7,60
105,2.7,84
105,2.67,120
105,3.2,240
105,3,360
106,2.2,1
106,2.3,2
106,2.42,3
106,2.9,6
106,2.93,12
106,2.85,24
106,2.81,36
106,2.69,60
106,2.69,84
106,2.68,120
106,3.23,240
106,3.02,360
107,2.14,1
107,2.3,2
107,2.44,3
107,2.93,6
107,3,12
107,2.96,24
107,2.93,36
107,2.82,60
107,2.83,84
107,2.78,120
107,3.26,240
107,3.03,360
108,2.17,1
108,2.35,2
108,2.55,3
108,3.01,6
108,3.06,12
108,3.02,24
108,3.01,36
108,2.89,60
108,2.88,84
108,2.81,120
108,3.27,240
108,3.03,360
109,2.14,1
109,2.31,2
109,2.62,3
109,3.06,6
109,3.07,12
109,3,24
109,2.98,36
109,2.89,60
109,2.89,84
109,2.81,120
109,3.28,240
109,3.04,360
110,2.15,1
110,2.29,2
110,2.49,3
110,2.97,6
110,3.01,12
